Beginnjahr;Beginnmonat;ZahlweiseInkasso;GeschlechtVP1;RauchertypVP1;x;n;t;Leistung;tba
2019;10;HALBJAEHRLICH;WEIBLICH;RAUCHEN;28;38;35;468963.72;4829.06
2018;6;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;19;42;3;845082.77;36338.62
2017;6;JAEHRLICH;MAENNLICH;RAUCHEN;29;26;7;90134.86;1559.54
2019;1;HALBJAEHRLICH;MAENNLICH;RAUCHEN;59;6;6;38277.31;1013
2017;2;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;55;11;5;818290.62;38342.45
2019;1;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;35;1;1;300915.04;853.43
2018;3;MONATLICH;MAENNLICH;RAUCHEN;28;5;1;38392.17;533.89
2018;1;HALBJAEHRLICH;MAENNLICH;RAUCHEN;25;36;18;977076.7;11460.58
2019;3;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;56;3;3;710061.31;11802.63
2018;5;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;33;25;25;812411.62;3865.82
2018;8;HALBJAEHRLICH;MAENNLICH;RAUCHEN;24;39;31;972627.66;8596.3
2019;9;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;23;5;1;715255.53;9551.22
2018;8;MONATLICH;WEIBLICH;RAUCHEN;53;11;7;435659.82;12406.93
2018;9;HALBJAEHRLICH;WEIBLICH;RAUCHEN;39;24;3;948049.84;65644.92
2018;2;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;45;21;19;111462.32;1019.69
2018;9;HALBJAEHRLICH;WEIBLICH;RAUCHEN;56;7;3;422757.83;18754.68
2018;10;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;57;2;2;636643.95;5702.15
2019;12;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;53;1;1;332771.57;2208.91
2018;5;MONATLICH;WEIBLICH;NICHTRAUCHEN;19;33;6;196902.12;2928.95
2019;11;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;50;2;2;621133.64;5854.48
2018;6;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;37;29;1;578048.04;89294.86
2018;11;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;51;1;1;876149.16;8582.56
2017;4;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;48;14;1;275480.47;25434.27
2019;6;MONATLICH;WEIBLICH;NICHTRAUCHEN;47;7;2;894695.91;16765.3
2018;3;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;18;22;8;68253.43;524.11
2018;3;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;22;13;12;291293.48;877.24
2017;10;JAEHRLICH;MAENNLICH;RAUCHEN;41;4;1;399093.03;7449.69
2018;7;MONATLICH;MAENNLICH;RAUCHEN;36;28;11;299329.09;6788.38
2019;7;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;57;8;3;938369.52;55433.61
2018;8;MONATLICH;MAENNLICH;RAUCHEN;19;8;1;235827.32;5028.31
2018;2;JAEHRLICH;MAENNLICH;RAUCHEN;39;11;10;23968.99;150.19
2018;1;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;20;18;10;437433.12;2029.08
2017;1;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;20;2;2;423443.84;1203.87
2018;3;MONATLICH;MAENNLICH;RAUCHEN;18;17;17;318406.03;989.32
2017;4;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;59;2;2;629673.32;6614.46
2017;1;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;35;28;24;901552.87;5912.26
2018;1;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;20;16;10;621805.25;2590.51
2019;8;HALBJAEHRLICH;MAENNLICH;RAUCHEN;54;5;4;649107.95;12093.62
2017;9;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;21;11;1;95994.58;2502.03
2018;6;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;51;8;4;403689.84;10317.48
2017;3;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;46;20;19;394456.44;3608.53
2019;12;JAEHRLICH;WEIBLICH;RAUCHEN;22;44;11;653471.33;16409.29
2019;8;JAEHRLICH;WEIBLICH;RAUCHEN;44;4;3;394733.55;3220.55
2017;12;MONATLICH;WEIBLICH;RAUCHEN;54;1;1;751559.41;9571.22
2017;3;MONATLICH;MAENNLICH;NICHTRAUCHEN;31;18;15;737198.58;3051.67
2018;8;JAEHRLICH;WEIBLICH;RAUCHEN;32;25;7;763148.45;14950.7
2018;3;MONATLICH;WEIBLICH;RAUCHEN;55;8;6;813868.2;20804.25
2019;8;MONATLICH;WEIBLICH;RAUCHEN;43;2;1;393043.97;4127.43
2018;4;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;22;13;9;946565.99;3645.6
2019;2;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;29;17;17;875422.42;2832.82
2018;10;MONATLICH;WEIBLICH;RAUCHEN;41;6;5;384948.14;2504.64
2017;3;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;25;19;4;771342.67;9290.13
2019;5;MONATLICH;WEIBLICH;NICHTRAUCHEN;30;25;15;474000.52;2975.03
2018;1;MONATLICH;WEIBLICH;NICHTRAUCHEN;20;44;40;866150.07;4615.15
2018;1;JAEHRLICH;WEIBLICH;RAUCHEN;58;3;3;168306.5;3312.87
2018;4;MONATLICH;WEIBLICH;RAUCHEN;53;6;3;854184.03;24078.63
2017;7;MONATLICH;WEIBLICH;RAUCHEN;46;16;13;945523.91;14809.43
2019;7;JAEHRLICH;WEIBLICH;RAUCHEN;40;12;9;155053.13;1293.5
2017;9;JAEHRLICH;WEIBLICH;RAUCHEN;55;7;2;472062.19;27760.15
2018;10;MONATLICH;MAENNLICH;NICHTRAUCHEN;36;29;10;916540.87;14565.16
2017;9;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;38;11;10;54447.63;323.02
2018;12;HALBJAEHRLICH;MAENNLICH;RAUCHEN;22;44;18;620968.8;10237.07
2019;6;MONATLICH;WEIBLICH;RAUCHEN;51;14;9;893111.83;24342.69
2018;6;MONATLICH;MAENNLICH;NICHTRAUCHEN;58;5;3;216646.79;3892.24
2019;5;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;51;13;7;884600.23;13871.76
2017;4;MONATLICH;WEIBLICH;NICHTRAUCHEN;55;2;2;489994.79;3929.92
2018;2;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;60;4;4;848363.73;10560.96
2017;5;MONATLICH;MAENNLICH;NICHTRAUCHEN;31;19;6;78344.2;783.68
2019;7;MONATLICH;WEIBLICH;NICHTRAUCHEN;22;23;11;941043.01;5370.22
2019;2;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;19;18;3;506238.68;7967.09
2019;10;MONATLICH;MAENNLICH;RAUCHEN;34;18;10;369344.72;3437.26
2019;3;JAEHRLICH;MAENNLICH;RAUCHEN;37;14;4;598216.89;10605.16
2017;7;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;59;4;2;384436.73;8502.3
2017;1;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;44;21;4;251559.14;8613.36
2019;3;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;38;16;7;286279.89;2667.09
2017;1;MONATLICH;MAENNLICH;RAUCHEN;43;19;5;352153.11;13483.86
2017;6;JAEHRLICH;WEIBLICH;RAUCHEN;50;10;10;597574.71;8046.12
2017;1;MONATLICH;MAENNLICH;NICHTRAUCHEN;34;3;2;647725.46;2738.19
2018;2;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;46;8;4;400370.09;4221.99
2018;8;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;47;12;8;527044.6;5037.57
2017;8;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;53;12;10;102640.76;1228.01
2018;5;MONATLICH;WEIBLICH;RAUCHEN;58;7;1;487997.43;78339.69
2019;3;MONATLICH;MAENNLICH;NICHTRAUCHEN;34;16;10;223719.37;1272.2
2019;5;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;22;6;1;249789.76;3742.8
2018;8;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;32;29;13;227525.31;2220.1
2018;4;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;52;7;2;671261.49;17107.79
2017;11;HALBJAEHRLICH;WEIBLICH;RAUCHEN;41;3;2;560385.54;3949.11
2019;1;MONATLICH;WEIBLICH;NICHTRAUCHEN;24;26;14;403486.43;2285.06
2019;9;MONATLICH;MAENNLICH;NICHTRAUCHEN;28;23;17;947934.63;4387.24
2019;3;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;37;11;11;138296.23;515.56
2018;3;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;31;19;6;110794.39;1083.83
2018;8;JAEHRLICH;WEIBLICH;RAUCHEN;58;5;4;575148.98;15518.26
2017;2;HALBJAEHRLICH;WEIBLICH;RAUCHEN;45;2;2;999565.58;6250.11
2017;3;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;22;17;14;888172.87;3366.37
2018;7;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;20;41;28;405130.32;2329.61
2019;1;MONATLICH;MAENNLICH;NICHTRAUCHEN;31;21;17;499135.16;2288.75
2017;12;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;41;6;3;782678.65;5752.31
2017;2;JAEHRLICH;MAENNLICH;RAUCHEN;31;11;9;762163.99;3299.42
2019;10;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;54;2;1;858046.22;12481.33
2019;8;HALBJAEHRLICH;WEIBLICH;RAUCHEN;33;2;2;316445.23;1030.16
2019;6;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;22;4;4;780482.36;2164.01
2019;3;MONATLICH;WEIBLICH;RAUCHEN;22;41;5;711548.69;30964.29
2018;4;JAEHRLICH;WEIBLICH;RAUCHEN;44;13;5;566923.66;12487.47
2019;12;HALBJAEHRLICH;MAENNLICH;RAUCHEN;25;37;29;857325.17;7429.79
2018;6;JAEHRLICH;MAENNLICH;RAUCHEN;24;26;9;497511.4;5150.93
2017;9;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;47;7;7;189590.51;1068.09
2017;12;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;53;9;8;5161.35;51.75
2018;7;MONATLICH;WEIBLICH;RAUCHEN;46;1;1;509056.02;3356.83
2018;1;MONATLICH;WEIBLICH;NICHTRAUCHEN;45;11;4;212053.22;3121.44
2017;2;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;49;2;1;909701.59;9629.17
2017;7;MONATLICH;WEIBLICH;NICHTRAUCHEN;55;8;1;990824.27;72544.26
2019;9;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;38;14;13;203402.63;919.34
2019;5;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;21;30;7;540702.52;6256.69
2019;1;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;32;3;1;245601.08;1911.31
2018;5;MONATLICH;MAENNLICH;NICHTRAUCHEN;48;4;2;51554.29;550.89
2018;11;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;22;34;14;309266.06;2423.99
2018;12;MONATLICH;WEIBLICH;RAUCHEN;54;10;4;825888.97;37737.22
2019;1;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;59;6;1;141683.57;9944.85
2018;4;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;39;3;2;438854.82;2087.41
2019;5;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;36;6;5;779493.56;2903.37
2018;3;HALBJAEHRLICH;WEIBLICH;RAUCHEN;58;8;8;955875.72;25735.87
2019;2;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;27;8;3;207923.89;1404.66
2019;3;HALBJAEHRLICH;WEIBLICH;RAUCHEN;52;7;3;501132.73;15386.65
2017;7;JAEHRLICH;WEIBLICH;RAUCHEN;55;11;6;856617.14;33290.68
2019;8;MONATLICH;MAENNLICH;RAUCHEN;53;11;7;537914.52;15318.98
2017;2;MONATLICH;MAENNLICH;RAUCHEN;37;2;2;868081.04;3317.33
2017;1;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;30;6;1;751021.8;13144.35
2017;6;MONATLICH;WEIBLICH;RAUCHEN;41;4;3;479306.1;3176.83
2019;12;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;35;6;2;884266.75;9494
2017;1;HALBJAEHRLICH;MAENNLICH;RAUCHEN;53;8;2;213611.08;12553.81
2018;8;MONATLICH;MAENNLICH;NICHTRAUCHEN;18;46;19;108206.25;1006.57
2019;8;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;22;42;38;565107.38;3063.54
2019;4;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;52;5;3;858289.02;17730.31
2017;1;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;36;26;4;318196.1;9565.3
2019;10;HALBJAEHRLICH;WEIBLICH;RAUCHEN;21;24;21;764467.84;3051.89
2018;2;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;35;26;17;686088.38;5186.59
2018;1;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;56;7;2;76708.9;2537.88
2017;5;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;39;16;13;469978.18;4107.01
2018;3;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;44;17;11;823025.63;13703.7
2017;5;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;37;21;8;617236.58;11246.38
2017;11;MONATLICH;WEIBLICH;RAUCHEN;44;5;3;106765.37;1148.09
2018;1;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;20;24;17;987012.82;3882.75
2018;7;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;21;22;17;418969.84;1534.41
2019;12;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;40;24;7;640845.07;12483.39
2019;4;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;26;8;2;87578.96;959.43
2019;12;HALBJAEHRLICH;WEIBLICH;RAUCHEN;22;37;6;181262.65;5039.26
2017;7;HALBJAEHRLICH;MAENNLICH;RAUCHEN;24;5;3;953844.17;4406.04
2017;4;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;26;36;13;493707.35;5425.69
2018;9;MONATLICH;MAENNLICH;NICHTRAUCHEN;45;14;1;23096.65;1802.29
2019;2;MONATLICH;MAENNLICH;NICHTRAUCHEN;51;1;1;466837.58;2805.42
2018;6;HALBJAEHRLICH;WEIBLICH;RAUCHEN;42;14;2;213992.72;10924.01
2017;3;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;27;12;5;372009.32;2300.19
2018;3;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;45;9;1;390514.69;16844.45
2017;8;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;44;12;12;889816.93;4958.19
2017;8;JAEHRLICH;MAENNLICH;RAUCHEN;37;15;1;204420.75;15536.62
2018;6;MONATLICH;WEIBLICH;RAUCHEN;39;5;3;703719.05;5224.09
2019;10;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;32;21;21;722801.38;2907.41
2017;9;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;36;25;17;865221.67;10548
2017;5;JAEHRLICH;WEIBLICH;RAUCHEN;27;38;38;595320.97;5346.03
2018;9;HALBJAEHRLICH;WEIBLICH;RAUCHEN;48;17;6;241157.52;9758.6
2018;11;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;50;12;8;415602.13;8953.07
2018;12;MONATLICH;MAENNLICH;RAUCHEN;19;21;12;549996.6;2867.16
2017;8;HALBJAEHRLICH;WEIBLICH;RAUCHEN;37;17;12;755655.07;6651.34
2019;11;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;19;24;16;381086.53;1581.65
2017;4;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;60;4;2;818164.57;41356.94
2017;5;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;58;3;1;217847.76;6396.35
2018;11;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;45;6;4;427073.65;3063.19
2018;11;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;27;3;1;49446.53;405.82
2017;10;JAEHRLICH;MAENNLICH;RAUCHEN;18;42;41;830958.59;5027.92
2018;1;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;32;19;13;271832.54;1398.26
2018;7;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;55;11;1;610339.75;68125.16
2019;9;HALBJAEHRLICH;MAENNLICH;RAUCHEN;18;21;20;30775.04;102.25
2019;6;HALBJAEHRLICH;WEIBLICH;RAUCHEN;55;10;5;10826.62;436.93
2017;5;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;42;12;4;753359.76;10213.94
2019;6;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;59;4;3;434795.41;6519.42
2017;4;MONATLICH;MAENNLICH;RAUCHEN;47;8;2;309722.45;11081.14
2017;1;MONATLICH;WEIBLICH;RAUCHEN;21;4;3;890876.32;3478.03
2018;4;JAEHRLICH;WEIBLICH;RAUCHEN;39;22;12;561139.66;8904.64
2019;9;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;57;2;2;315180.53;2851.8
2019;1;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;44;22;20;558605.31;9256.18
2017;5;JAEHRLICH;WEIBLICH;RAUCHEN;29;7;5;690961.37;2930.4
2017;5;HALBJAEHRLICH;WEIBLICH;RAUCHEN;51;11;11;748883;11765.54
2017;5;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;53;13;13;358591.77;7805.64
2019;10;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;44;1;1;4690.35;18.53
2019;9;HALBJAEHRLICH;WEIBLICH;RAUCHEN;38;14;3;932336.14;23613.05
2018;1;JAEHRLICH;WEIBLICH;RAUCHEN;50;3;3;927523.85;8971.31
2018;5;MONATLICH;MAENNLICH;RAUCHEN;29;3;2;569814.77;2507.48
2018;11;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;23;38;36;29537.27;139.5
2018;11;JAEHRLICH;WEIBLICH;RAUCHEN;43;1;1;376202.76;1909.39
2019;3;MONATLICH;MAENNLICH;RAUCHEN;28;30;21;706211.25;5990.07
2019;2;JAEHRLICH;WEIBLICH;RAUCHEN;53;9;4;458393.57;16028.82
2018;8;JAEHRLICH;WEIBLICH;RAUCHEN;30;36;20;888008.82;13655.85
2017;3;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;55;11;10;365568.98;9346.01
2018;4;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;59;6;3;370586.37;18639.5
2017;2;JAEHRLICH;MAENNLICH;RAUCHEN;60;5;3;704653.39;30895.39
2018;1;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;34;1;1;217269.4;614.68
2019;4;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;21;34;24;550377.45;3589.33
2017;12;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;42;21;20;953569.07;6787.29
2019;1;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;52;2;2;306453.93;2009.41
2018;11;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;59;2;1;812060.94;16386.14
2018;12;HALBJAEHRLICH;WEIBLICH;RAUCHEN;40;15;12;471569.85;4279.73
2018;12;MONATLICH;WEIBLICH;RAUCHEN;21;3;1;696069.22;5897.5
2019;10;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;54;10;2;308254;27141.77
2017;1;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;59;4;4;292239.15;3315.73
2019;9;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;55;6;3;499963.41;8825.9
2017;8;HALBJAEHRLICH;WEIBLICH;RAUCHEN;31;23;20;969021.17;6144.75
2017;6;MONATLICH;MAENNLICH;NICHTRAUCHEN;33;22;13;302539.92;2029.91
